Job_name,last_update,job_salary,rate,currency,salary_info,Benefits
MZ Data Scientist Salaries,15/Apr/2020,"$125,427",/yr,(USD),"The typical MZ Data Scientist salary is $125,427. Data Scientist salaries at MZ can range from $108,978 - $164,205. This estimate is based upon 81 MZ Data Scientist salary report(s) provided by employees or estimated based upon statistical methods. When factoring in bonuses and additional compensation, a Data Scientist at MZ can expect to make an average total pay of $125,427 . See all Data Scientist salaries to learn how this stacks up in the market.","Health Insurance,Dental Insurance,401K Plan,Maternity & Paternity Leave,Vacation & Paid Time Off,Paid Holidays,Free Lunch or Snacks,Gym Membership,Mobile Phone Discount"
Northrop Grumman UI Designer Salaries,3/Apr/2020,"$76,861 - $88,267",/yr,(USD),"The typical Northrop Grumman UI Designer salary is $85,008. UI Designer salaries at Northrop Grumman can range from $76,861 - $88,267. This estimate is based upon 3 Northrop Grumman UI Designer salary report(s) provided by employees or estimated based upon statistical methods. When factoring in bonuses and additional compensation, a UI Designer at Northrop Grumman can expect to make an average total pay of $85,008 . See all UI Designer salaries to learn how this stacks up in the market.",
PayPal Senior Front End Developer Salaries,20/Jan/2021,"$162,827",/yr,(USD),"The typical PayPal Senior Front End Developer salary is $162,827. Senior Front End Developer salaries at PayPal can range from $104,574 - $194,817. This estimate is based upon 6 PayPal Senior Front End Developer salary report(s) provided by employees or estimated based upon statistical methods. When factoring in bonuses and additional compensation, a Senior Front End Developer at PayPal can expect to make an average total pay of $165,632 . See all Senior Front End Developer salaries to learn how this stacks up in the market.","Health Insurance,Dental Insurance,Flexible Spending Account (FSA),Vision Insurance,Health Savings Account (HSA),Life Insurance,Disability Insurance,Accidental Death & Dismemberment Insurance,401K Plan,Retirement Plan,Employee Stock Purchase Plan,Performance Bonus,Stock Options,Charitable Gift Matching,Maternity & Paternity Leave,Work From Home,Dependent Care,Adoption Assistance,Childcare,Reduced or Flexible Hours,Military Leave,Family Medical Leave,Unpaid Extended Leave,Vacation & Paid Time Off,Sick Days,Paid Holidays,Volunteer Time Off,Sabbatical,Bereavement Leave,Employee Assistance Program,Gym Membership,Company Social Events,Legal Assistance,Diversity Program,Job Training,Professional Development,Tuition Assistance"
Dell Technologies UI Designer Salaries,13/Jan/2021,"$79,702 - $101,407",/yr,(USD),"The typical Dell Technologies UI Designer salary is $86,935. UI Designer salaries at Dell Technologies can range from $79,702 - $101,407. This estimate is based upon 3 Dell Technologies UI Designer salary report(s) provided by employees or estimated based upon statistical methods. When factoring in bonuses and additional compensation, a UI Designer at Dell Technologies can expect to make an average total pay of $86,935 . See all UI Designer salaries to learn how this stacks up in the market.","Health Insurance,Dental Insurance,Flexible Spending Account (FSA),Vision Insurance,Health Savings Account (HSA),Life Insurance,Supplemental Life Insurance,Disability Insurance,Health Care On-Site,Mental Health Care,Accidental Death & Dismemberment Insurance,401K Plan,Performance Bonus,Charitable Gift Matching,Maternity & Paternity Leave,Work From Home,Fertility Assistance,Adoption Assistance,Reduced or Flexible Hours,Military Leave,Family Medical Leave,Vacation & Paid Time Off,Sick Days,Paid Holidays,Volunteer Time Off,Bereavement Leave,Employee Discount,Employee Assistance Program,Gym Membership,Company Social Events,Diversity Program,Job Training,Professional Development,Tuition Assistance"
Capital One UI Designer Hourly Pay,6/Apr/2021,$54 - $64,/hr,(USD),"The typical Capital One UI Designer salary is $60. UI Designer salaries at Capital One can range from $54 - $64. This estimate is based upon 3 Capital One UI Designer salary report(s) provided by employees or estimated based upon statistical methods. When factoring in bonuses and additional compensation, a UI Designer at Capital One can expect to make an average total pay of $60 . See all UI Designer salaries to learn how this stacks up in the market.","Health Insurance,Dental Insurance,Flexible Spending Account (FSA),Vision Insurance,Life Insurance,Supplemental Life Insurance,Disability Insurance,Health Care On-Site,Mental Health Care,Accidental Death & Dismemberment Insurance,401K Plan,Employee Stock Purchase Plan,Performance Bonus,Charitable Gift Matching,Maternity & Paternity Leave,Work From Home,Dependent Care,Reduced or Flexible Hours,Military Leave,Family Medical Leave,Vacation & Paid Time Off,Sick Days,Paid Holidays,Bereavement Leave,Employee Assistance Program,Gym Membership,Mobile Phone Discount,Company Social Events,Diversity Program,Job Training,Professional Development,Tuition Assistance"
American Express UI Designer Salaries,31/Mar/2021,"$55,795 - $97,252",/yr,(USD),"The typical American Express UI Designer salary is $72,121. UI Designer salaries at American Express can range from $55,795 - $97,252. This estimate is based upon 3 American Express UI Designer salary report(s) provided by employees or estimated based upon statistical methods. When factoring in bonuses and additional compensation, a UI Designer at American Express can expect to make an average total pay of $72,121 . See all UI Designer salaries to learn how this stacks up in the market.","Health Insurance,Dental Insurance,Vision Insurance,Health Savings Account (HSA),Disability Insurance,Health Care On-Site,Mental Health Care,401K Plan,Performance Bonus,Charitable Gift Matching,Maternity & Paternity Leave,Work From Home,Fertility Assistance,Reduced or Flexible Hours,Unpaid Extended Leave,Vacation & Paid Time Off,Sick Days,Paid Holidays,Bereavement Leave,Employee Discount,Employee Assistance Program,Mobile Phone Discount,Diversity Program,Professional Development,Tuition Assistance"
Expedia Group UX Designer Salaries,15/Apr/2020,"$115,944",/yr,(USD),"The typical Expedia Group UX Designer salary is $115,944. UX Designer salaries at Expedia Group can range from $84,395 - $138,158. This estimate is based upon 4 Expedia Group UX Designer salary report(s) provided by employees or estimated based upon statistical methods. When factoring in bonuses and additional compensation, a UX Designer at Expedia Group can expect to make an average total pay of $121,094 . See all UX Designer salaries to learn how this stacks up in the market.","Health Insurance,Dental Insurance,Flexible Spending Account (FSA),Vision Insurance,Health Savings Account (HSA),Life Insurance,Supplemental Life Insurance,Disability Insurance,Mental Health Care,Accidental Death & Dismemberment Insurance,401K Plan,Employee Stock Purchase Plan,Equity Incentive Plan,Charitable Gift Matching,Maternity & Paternity Leave,Work From Home,Dependent Care,Adoption Assistance,Family Medical Leave,Vacation & Paid Time Off,Sick Days,Paid Holidays,Volunteer Time Off,Bereavement Leave,Employee Discount,Free Lunch or Snacks,Employee Assistance Program,Gym Membership,Commuter Checks & Assistance,Company Social Events,Legal Assistance,Diversity Program,Job Training,Professional Development,Tuition Assistance"
Booz Allen Hamilton UX Designer Salaries,3/Apr/2020,"$95,667",/yr,(USD),"The typical Booz Allen Hamilton UX Designer salary is $95,667. UX Designer salaries at Booz Allen Hamilton can range from $66,957 - $113,249. This estimate is based upon 4 Booz Allen Hamilton UX Designer salary report(s) provided by employees or estimated based upon statistical methods. When factoring in bonuses and additional compensation, a UX Designer at Booz Allen Hamilton can expect to make an average total pay of $95,667 . See all UX Designer salaries to learn how this stacks up in the market.","Health Insurance,Dental Insurance,Flexible Spending Account (FSA),Vision Insurance,Health Savings Account (HSA),Life Insurance,Supplemental Life Insurance,Disability Insurance,Mental Health Care,Accidental Death & Dismemberment Insurance,401K Plan,Retirement Plan,Employee Stock Purchase Plan,Stock Options,Charitable Gift Matching,Maternity & Paternity Leave,Work From Home,Adoption Assistance,Childcare,Reduced or Flexible Hours,Military Leave,Family Medical Leave,Unpaid Extended Leave,Vacation & Paid Time Off,Paid Holidays,Bereavement Leave,Employee Discount,Employee Assistance Program,Gym Membership,Mobile Phone Discount,Company Social Events,Legal Assistance,Diversity Program,Job Training,Professional Development,Tuition Assistance"
SailPoint Technologies UX Designer Salaries,11/Jun/2020,"$75,018 - $129,781",/yr,(USD),"The typical SailPoint Technologies UX Designer salary is $97,141. UX Designer salaries at SailPoint Technologies can range from $75,018 - $129,781. This estimate is based upon 3 SailPoint Technologies UX Designer salary report(s) provided by employees or estimated based upon statistical methods. When factoring in bonuses and additional compensation, a UX Designer at SailPoint Technologies can expect to make an average total pay of $97,141 . See all UX Designer salaries to learn how this stacks up in the market.","Health Insurance,Dental Insurance,Flexible Spending Account (FSA),Vision Insurance,401K Plan,Maternity & Paternity Leave,Employee Assistance Program"
SAP UX Designer Salaries,2/Mar/2021,"$75,016 - $117,085",/yr,(USD),"The typical SAP UX Designer salary is $104,011. UX Designer salaries at SAP can range from $75,016 - $117,085. This estimate is based upon 3 SAP UX Designer salary report(s) provided by employees or estimated based upon statistical methods. When factoring in bonuses and additional compensation, a UX Designer at SAP can expect to make an average total pay of $115,568 . See all UX Designer salaries to learn how this stacks up in the market.","Health Insurance,Dental Insurance,Vision Insurance,Disability Insurance,Occupational Accident Insurance,Mental Health Care,401K Plan,Retirement Plan,Employee Stock Purchase Plan,Performance Bonus,Stock Options,Equity Incentive Plan,Maternity & Paternity Leave,Work From Home,Dependent Care,Adoption Assistance,Reduced or Flexible Hours,Family Medical Leave,Unpaid Extended Leave,Vacation & Paid Time Off,Sick Days,Paid Holidays,Volunteer Time Off,Bereavement Leave,Employee Discount,Free Lunch or Snacks,Employee Assistance Program,Gym Membership,Commuter Checks & Assistance,Mobile Phone Discount,Company Social Events,Diversity Program,Job Training,Professional Development,Tuition Assistance"
