Job_name,last_update,job_salary,rate,currency,salary_info,Benefits
SecureApp Technologies Security Engineer Salaries,22/Sep/2020,"$89,708",/yr,(USD),"The typical SecureApp Technologies Security Engineer salary is $89,708. Security Engineer salaries at SecureApp Technologies can range from $73,415 - $106,590. This estimate is based upon 21 SecureApp Technologies Security Engineer salary report(s) provided by employees or estimated based upon statistical methods. When factoring in bonuses and additional compensation, a Security Engineer at SecureApp Technologies can expect to make an average total pay of $89,708 . See all Security Engineer salaries to learn how this stacks up in the market.",
CIGNEX Datamatics Software Architect Salaries,10/Jan/2021,"$84,637",/yr,(USD),"The typical CIGNEX Datamatics Software Architect salary is $84,637. Software Architect salaries at CIGNEX Datamatics can range from $74,283 - $124,971. This estimate is based upon 28 CIGNEX Datamatics Software Architect salary report(s) provided by employees or estimated based upon statistical methods. When factoring in bonuses and additional compensation, a Software Architect at CIGNEX Datamatics can expect to make an average total pay of $84,637 . See all Software Architect salaries to learn how this stacks up in the market.",
Innominds Software Software Architect Salaries,11/Nov/2020,"$113,834",/yr,(USD),"The typical Innominds Software Software Architect salary is $113,834. Software Architect salaries at Innominds Software can range from $89,678 - $116,038. This estimate is based upon 52 Innominds Software Software Architect salary report(s) provided by employees or estimated based upon statistical methods. When factoring in bonuses and additional compensation, a Software Architect at Innominds Software can expect to make an average total pay of $113,834 . See all Software Architect salaries to learn how this stacks up in the market.",
Lockheed Martin Software Architect Salaries,28/Mar/2021,"$126,176",/yr,(USD),"The typical Lockheed Martin Software Architect salary is $126,176. Software Architect salaries at Lockheed Martin can range from $93,203 - $154,899. This estimate is based upon 25 Lockheed Martin Software Architect salary report(s) provided by employees or estimated based upon statistical methods. When factoring in bonuses and additional compensation, a Software Architect at Lockheed Martin can expect to make an average total pay of $126,176 . See all Software Architect salaries to learn how this stacks up in the market.","Health Insurance,Dental Insurance,Flexible Spending Account (FSA),Vision Insurance,Health Savings Account (HSA),Life Insurance,Supplemental Life Insurance,Disability Insurance,Occupational Accident Insurance,Health Care On-Site,Mental Health Care,Retiree Health & Medical,Accidental Death & Dismemberment Insurance,401K Plan,Retirement Plan,Performance Bonus,Charitable Gift Matching,Maternity & Paternity Leave,Work From Home,Reduced or Flexible Hours,Military Leave,Family Medical Leave,Unpaid Extended Leave,Vacation & Paid Time Off,Sick Days,Paid Holidays,Bereavement Leave,Employee Discount,Employee Assistance Program,Mobile Phone Discount,Company Social Events,Diversity Program,Job Training,Professional Development,Tuition Assistance"
Lobacz Chiropractic Devops Salaries,14/Oct/2020,"$62,550 - $68,121",/yr,(USD),"Devops salaries at Lobacz Chiropractic can range from $62,550-$68,121. This estimate is based upon 1 Lobacz Chiropractic Devops salary report(s) provided by employees or estimated based upon statistical methods. See all Devops salaries to learn how this stacks up in the market.",
CGI Software Architect Salaries,5/Mar/2021,"$137,560",/yr,(USD),"The typical CGI Software Architect salary is $137,560. Software Architect salaries at CGI can range from $87,593 - $192,873. This estimate is based upon 250 CGI Software Architect salary report(s) provided by employees or estimated based upon statistical methods. When factoring in bonuses and additional compensation, a Software Architect at CGI can expect to make an average total pay of $137,560 . See all Software Architect salaries to learn how this stacks up in the market.",
Birlasoft Software Architect Salaries,10/Mar/2021,"$80,528",/yr,(USD),"The typical Birlasoft Software Architect salary is $80,528. Software Architect salaries at Birlasoft can range from $62,593 - $101,434. This estimate is based upon 17 Birlasoft Software Architect salary report(s) provided by employees or estimated based upon statistical methods. When factoring in bonuses and additional compensation, a Software Architect at Birlasoft can expect to make an average total pay of $80,528 . See all Software Architect salaries to learn how this stacks up in the market.","Health Insurance,Dental Insurance,401K Plan,Maternity & Paternity Leave,Work From Home"
Leidos Software Architect Salaries,16/Mar/2021,"$169,400",/yr,(USD),"The typical Leidos Software Architect salary is $169,400. Software Architect salaries at Leidos can range from $106,686 - $192,855. This estimate is based upon 36 Leidos Software Architect salary report(s) provided by employees or estimated based upon statistical methods. When factoring in bonuses and additional compensation, a Software Architect at Leidos can expect to make an average total pay of $169,400 . See all Software Architect salaries to learn how this stacks up in the market.","Health Insurance,Dental Insurance,Flexible Spending Account (FSA),Vision Insurance,Health Savings Account (HSA),Life Insurance,Supplemental Life Insurance,Disability Insurance,Occupational Accident Insurance,Health Care On-Site,Mental Health Care,Accidental Death & Dismemberment Insurance,401K Plan,Employee Stock Purchase Plan,Childcare,Military Leave,Vacation & Paid Time Off,Paid Holidays,Bereavement Leave,Employee Discount,Employee Assistance Program,Mobile Phone Discount"
Cisco Systems Software Architect Salaries,19/Apr/2021,"$144,448",/yr,(USD),"The typical Cisco Systems Software Architect salary is $144,448. Software Architect salaries at Cisco Systems can range from $121,948 - $191,040. This estimate is based upon 44 Cisco Systems Software Architect salary report(s) provided by employees or estimated based upon statistical methods. When factoring in bonuses and additional compensation, a Software Architect at Cisco Systems can expect to make an average total pay of $144,448 . See all Software Architect salaries to learn how this stacks up in the market.","Health Insurance,Dental Insurance,Flexible Spending Account (FSA),Vision Insurance,Health Savings Account (HSA),Life Insurance,Supplemental Life Insurance,Disability Insurance,Health Care On-Site,Mental Health Care,Retiree Health & Medical,Accidental Death & Dismemberment Insurance,401K Plan,Retirement Plan,Employee Stock Purchase Plan,Performance Bonus,Stock Options,Equity Incentive Plan,Charitable Gift Matching,Maternity & Paternity Leave,Work From Home,Fertility Assistance,Dependent Care,Adoption Assistance,Childcare,Reduced or Flexible Hours,Military Leave,Family Medical Leave,Unpaid Extended Leave,Vacation & Paid Time Off,Sick Days,Paid Holidays,Volunteer Time Off,Bereavement Leave,Employee Discount,Employee Assistance Program,Gym Membership,Commuter Checks & Assistance,Mobile Phone Discount,Company Social Events,Legal Assistance,Diversity Program,Job Training,Professional Development,Tuition Assistance"
Shero Designs Backend Developer Salaries,10/Feb/2017,"$47,080 - $62,777",/yr,(USD),"Backend Developer salaries at Shero Designs can range from $47,080-$62,777. This estimate is based upon 2 Shero Designs Backend Developer salary report(s) provided by employees or estimated based upon statistical methods. See all Backend Developer salaries to learn how this stacks up in the market.",
